Sprite enemies
R	G	B
255	0	128	0
Animation Count
2


Name
Animation
Frame Count
79

FrameX		FrameY		FrameWidth		FrameHeight		AnchorX		AnchorY
0			27			7				5				0			0
7			25			7				7				0			0
14			27			6				5				0			0
20			25			13				7				0			0
33			25			7				7				0			0
40			25			2				7				0			0
14			27			6				5				0			0
0			27			7				5				0			0
42			27			7				5				0			0
0			27			7				5				0			0
49			27			6				5				0			0
55			25			7				7				0			0
62			27			13				5				0			0
14			27			6				5				0			0
49			27			6				5				0			0
75			25			7				7				0			0
82			25			6				7				0			0
88			26			2				6				0			0
90			25			6				7				0			0
14			27			6				5				0			0
96			25			7				7				0			0
103			25			6				7				0			0
14			27			6				5				0			0
40			25			2				7				0			0
14			27			6				5				0			0
90			25			6				7				0			0
109			27			6				5				0			0
49			27			6				5				0			0
115			16			16				16				0			0
131			16			16				16				0			0
147			16			16				16				0			0
163			16			16				16				0			0
179			16			16				16				0			0
195			16			16				16				0			0
211			0			16				32				0			0
227			0			16				32				0			0
243			16			8				16				0			0
251			16			16				16				0			0
267			16			16				16				0			0
55			25			7				7				0			0
14			27			6				5				0			0
283			25			6				7				0			0
96			25			7				7				0			0
103			25			6				7				0			0
14			27			6				5				0			0
40			25			2				7				0			0
14			27			6				5				0			0
90			25			6				7				0			0
109			27			6				5				0			0
49			27			6				5				0			0
289			25			7				7				0			0
296			27			7				5				0			0
14			27			6				5				0			0
303			25			7				7				0			0
0			27			7				5				0			0
49			27			6				5				0			0
310			25			7				7				0			0
14			27			6				5				0			0
317			25			13				7				0			0
82			25			6				7				0			0
330			25			13				7				0			0
343			25			6				7				0			0
14			27			6				5				0			0
349			27			6				5				0			0
90			25			6				7				0			0
355			16			16				16				0			0
371			16			16				16				0			0
387			0			16				32				0			0
403			0			16				32				0			0
419			0			24				32				0			0
443			0			24				32				0			0
467			16			16				16				0			0
483			16			16				16				0			0
499			16			16				16				0			0
515			16			16				16				0			0
531			16			8				16				0			0
539			16			8				16				0			0
547			16			8				16				0			0
555			0			224				32				0			0


Name
Animation
Frame Count
225

FrameX		FrameY		FrameWidth		FrameHeight		AnchorX		AnchorY
779			25			7				7				0			0
109			27			6				5				0			0
42			27			7				5				0			0
786			25			6				7				0			0
88			26			2				6				0			0
14			27			6				5				0			0
792			25			7				7				0			0
40			25			2				7				0			0
799			27			13				5				0			0
103			25			6				7				0			0
812			25			6				7				0			0
14			27			6				5				0			0
109			27			6				5				0			0
818			26			6				6				0			0
0			27			7				5				0			0
824			27			6				5				0			0
283			25			6				7				0			0
830			25			7				7				0			0
0			27			7				5				0			0
42			27			7				5				0			0
818			26			6				6				0			0
88			26			2				6				0			0
824			27			6				5				0			0
14			27			6				5				0			0
792			25			7				7				0			0
317			25			13				7				0			0
33			25			7				7				0			0
88			26			2				6				0			0
837			27			6				5				0			0
82			25			6				7				0			0
303			25			7				7				0			0
0			27			7				5				0			0
49			27			6				5				0			0
792			25			7				7				0			0
40			25			2				7				0			0
0			27			7				5				0			0
349			27			6				5				0			0
103			25			6				7				0			0
843			25			7				7				0			0
49			27			6				5				0			0
88			26			2				6				0			0
850			26			6				6				0			0
856			25			12				7				0			0
868			16			16				16				0			0
884			16			16				16				0			0
900			16			16				16				0			0
916			16			24				16				0			0
940			16			32				16				0			0
972			16			32				16				0			0
1004			16			32				16				0			0
1036			16			16				16				0			0
1052			16			16				16				0			0
1068			16			16				16				0			0
1084			16			16				16				0			0
1100			16			16				16				0			0
1116			16			16				16				0			0
1132			16			16				16				0			0
1148			16			16				16				0			0
1164			16			16				16				0			0
1180			16			16				16				0			0
1196			16			16				16				0			0
1212			16			16				16				0			0
1228			16			16				16				0			0
1244			16			16				16				0			0
1260			16			16				16				0			0
1276			16			16				16				0			0
1292			0			16				32				0			0
1308			1			16				31				0			0
310			25			7				7				0			0
824			27			6				5				0			0
1324			26			13				6				0			0
109			27			6				5				0			0
49			27			6				5				0			0
96			25			7				7				0			0
103			25			6				7				0			0
1337			27			6				5				0			0
40			25			2				7				0			0
40			25			2				7				0			0
303			25			7				7				0			0
14			27			6				5				0			0
283			25			6				7				0			0
1337			27			6				5				0			0
837			27			6				5				0			0
0			27			7				5				0			0
