# id	file_path	transparent_color_r	g	b
[TEXTURES]
0	scenes\textures\mario.png	255	255	255
10	scenes\World1-1.png	255	255	255
20	scenes\textures\misc.png	176	224	248
30	scenes\textures\enemies-2.png	0	128	128


# id	left	top	right	bottom	texture_id
[SPRITES]
# BIG MARIO 1-20 44-50
# idle right
10001	246	154	260	181	0
# walk
10002	275	154	290	181	0		
10003	304	154	321	181	0
# idle left
10011	186	154	200	181	0
#walk
10012	155	154	171	181	0
10013	125	154	141	181	0
# die 
10099	215	120	231	135	0
# stop right
10014	5	154	21	182	0
# stop left
10015	425	154	441	182	0
# jump up right
10016	395	275	411	301	0
# jump up left
10017	35	275	51	301	0
# idle hold object right
10018	335	234	351	261	0
# idle hold object left
10019	95	234	111	261	0
# walk hold object right
10020	276	314	292	341	0
10044	305	314	321	341	0
# walk hold object left
10045	154	314	170	341	0
10046	125	314	141	341	0
# hit object right
10047	423	274	444	301	0
# hit object left
10048	2	274	23	301	0
# sit right
10049	425	239	441	257	0
# sit left
10050	5	239	21	257	0

# SMALL MARIO 21-43
# idle small right
10021	245	0	261	15	0
# walk
10022	275	0	291	15	0
10023	306	0	320	15	0
# idle small left
10031	185	0	201	15	0
# walk
10032	155	0	171	15	0
10033	125	0	141	15	0
# stop right
10034	5	0	20	15	0
# stop left
10035	425	0	440	15	0
# jump right
10036	395	80	411	96	0
# jump left
10037	35	80	51	96	0
# idle hold object right
10038	246	120	260	136	0
# idle hold object left
10039	186	120	200	136	0
# walk hold object right
10040	276	120	291	136	0
# walk hold object left
10041	155	120	170	136	0
# hit object right
10042	425	80	441	96	0
# hit object left
10043	5	80	21	96	0

# TAIL MARIO 51-70
# idle right
10051	243	634	264	662	0
# walk
10052	272	634	294	662	0		
10053	303	634	324	662	0
# idle left
10054	182	634	203	662	0
#walk
10055	152	634	174	662	0
10056	122	634	143	662	0
# stop right
10057	5	633	21	663	0
# stop left
10058	425	633	441	663	0
# jump up right
10059	392	754	415	781	0
# jump up left
10060	31	754	54	781	0
# idle hold object right
10061	242	794	264	822	0
# idle hold object left
10062	182	794	204	822	0
# walk hold object right
10063	272	794	294	822	0
10064	303	794	325	822	0
# walk hold object left
10065	182	794	204	822	0
10066	152	794	174	822	0
# hit object right
10067	422	754	444	781	0
# hit object left
10068	2	754	24	781	0
# sit right
10069	422	719	444	737	0
# sit left
10070	2	719	24	737	0

# FIRE MARIO 71-90
# idle right
10071	246	394	260	421	0
# walk
10072	275	394	290	421	0		
10073	304	394	321	421	0
# idle left
10074	186	394	200	421	0
#walk
10075	155	394	171	421	0
10076	125	394	141	421	0
# stop right
10077	5	394	21	421	0
# stop left
10078	425	394	441	421	0
# jump up right
10079	395	515	411	541	0
# jump up left
10080	35	515	51	541	0
# idle hold object right
10081	335	474	351	501	0
# idle hold object left
10082	95	474	111	501	0
# walk hold object right
10083	276	554	292	581	0
10084	305	554	321	581	0
# walk hold object left
10085	154	554	170	581	0
10086	125	554	141	581	0
# hit object right
10087	423	514	444	541	0
# hit object left
