Sprite b
R	G	B
255	255	0	255
Animation Count
1


Name
Animation
Frame Count
18

FrameX		FrameY		FrameWidth		FrameHeight		AnchorX		AnchorY
0			33			44				17				0			0
44			10			30				40				0			0
74			0			15				50				0			0
89			37			44				13				0			0
133			10			30				40				0			0
163			0			15				50				0			0
178			0			15				50				0			0
193			0			15				50				0			0
208			0			15				50				0			0
223			10			30				40				0			0
253			10			30				40				0			0
283			0			15				50				0			0
298			37			74				13				0			0
133			10			30				40				0			0
372			10			30				40				0			0
402			37			74				13				0			0
476			37			74				13				0			0
550			37			74				13				0			0


