Sprite b
R	G	B
255	255	0	255
Animation Count
3


Name
Animation
Frame Count
1

FrameX		FrameY		FrameWidth		FrameHeight		AnchorX		AnchorY
0			2			48				62				0			0


Name
Animation
Frame Count
20

FrameX		FrameY		FrameWidth		FrameHeight		AnchorX		AnchorY
48			6			32				58				0			0
80			0			32				64				0			0
112			2			32				62				0			0
144			2			24				62				0			0
168			2			30				62				0			0
144			2			24				62				0			0
198			2			32				62				0			0
230			18			32				46				0			0
262			20			44				44				0			0
0			2			48				62				0			0
306			2			32				62				0			0
338			4			41				60				0			0
379			2			48				62				0			0
198			2			32				62				0			0
427			0			36				64				0			0
463			0			35				64				0			0
498			0			35				64				0			0
533			0			36				64				0			0
569			36			60				28				0			0
629			18			32				46				0			0


Name
Animation
Frame Count
27

FrameX		FrameY		FrameWidth		FrameHeight		AnchorX		AnchorY
661			4			32				60				0			0
144			2			24				62				0			0
693			4			30				60				0			0
723			3			24				61				0			0
629			18			32				46				0			0
747			4			48				60				0			0
795			4			32				60				0			0
48			6			32				58				0			0
80			0			32				64				0			0
112			2			32				62				0			0
144			2			24				62				0			0
168			2			30				62				0			0
144			2			24				62				0			0
198			2			32				62				0			0
230			18			32				46				0			0
262			20			44				44				0			0
0			2			48				62				0			0
306			2			32				62				0			0
338			4			41				60				0			0
379			2			48				62				0			0
198			2			32				62				0			0
427			0			36				64				0			0
463			0			35				64				0			0
498			0			35				64				0			0
533			0			36				64				0			0
569			36			60				28				0			0
629			18			32				46				0			0


